Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,77.559998,77.699997,72.220001,74.589996,74.589996,4439600
2021-01-05,73.129997,75.900002,73.010002,75.139999,75.139999,2864500
2021-01-06,73.000000,75.230003,71.010002,73.269997,73.269997,4467800
2021-01-07,74.400002,79.190002,74.309998,79.019997,79.019997,6191900
2021-01-08,80.160004,81.940002,77.550003,79.150002,79.150002,4577900
2021-01-11,78.000000,79.889999,76.209999,76.500000,76.500000,3381500
2021-01-12,77.000000,78.220001,75.690002,77.820000,77.820000,2964700
2021-01-13,78.580002,82.699997,77.980003,82.480003,82.480003,5644000
2021-01-14,83.320000,84.779999,79.720001,80.510002,80.510002,4372900
2021-01-15,80.860001,82.470001,77.190002,77.849998,77.849998,3382200
2021-01-19,79.349998,81.669998,79.160004,81.440002,81.440002,3019700
2021-01-20,83.000000,84.019997,81.169998,83.510002,83.510002,3509800
2021-01-21,84.150002,84.989998,82.019997,83.019997,83.019997,2987200
2021-01-22,82.500000,83.843002,81.809998,83.470001,83.470001,2779600
2021-01-25,85.000000,87.150002,77.599998,82.779999,82.779999,5263600
2021-01-26,82.739998,82.750000,76.910004,77.029999,77.029999,4099400
2021-01-27,75.160004,77.660004,71.500000,74.570000,74.570000,5028600
2021-01-28,75.099998,79.720001,74.349998,78.800003,78.800003,3855700
2021-01-29,78.029999,78.500000,74.790001,76.660004,76.660004,3583900
2021-02-01,77.750000,80.559998,76.550003,80.480003,80.480003,2645400
2021-02-02,81.820000,83.739998,80.040001,83.570000,83.570000,3292800
2021-02-03,84.379997,84.800003,82.070000,82.339996,82.339996,2622100
2021-02-04,82.559998,83.970001,81.750000,83.040001,83.040001,1833200
2021-02-05,83.500000,85.940002,82.930000,85.559998,85.559998,3247700
2021-02-08,87.000000,91.949997,86.348999,91.129997,91.129997,5880200
2021-02-09,91.089996,94.820000,90.222000,93.459999,93.459999,4914200
2021-02-10,94.769997,95.769997,87.330002,90.910004,90.910004,4522500
2021-02-11,92.769997,93.000000,89.339996,91.279999,91.279999,5288500
2021-02-12,86.320000,87.570000,83.330002,85.949997,85.949997,10636100
2021-02-16,84.809998,84.925003,81.019997,82.070000,82.070000,7335300
2021-02-17,82.620003,87.059998,80.262001,84.400002,84.400002,5794800
2021-02-18,83.010002,85.250000,81.599998,82.790001,82.790001,5202300
2021-02-19,84.000000,85.820000,81.629997,82.169998,82.169998,4910100
2021-02-22,81.489998,82.669998,78.279999,78.379997,78.379997,4310800
2021-02-23,74.500000,77.370003,70.704002,77.279999,77.279999,6740300
2021-02-24,75.989998,76.610001,73.150002,76.430000,76.430000,4900400
2021-02-25,75.540001,76.230003,70.565002,71.720001,71.720001,4565100
2021-02-26,72.400002,74.290001,70.860001,73.970001,73.970001,7740700
2021-03-01,75.410004,77.169998,74.430000,76.900002,76.900002,3244400
2021-03-02,77.199997,77.489998,74.480003,75.500000,75.500000,5202800
2021-03-03,74.900002,75.580002,70.059998,70.830002,70.830002,3531100
2021-03-04,70.000000,72.150002,64.750000,67.300003,67.300003,7385000
2021-03-05,67.150002,67.389999,60.959999,67.029999,67.029999,9852400
2021-03-08,65.690002,68.050003,61.770000,61.770000,61.770000,6711100
2021-03-09,65.779999,69.730003,63.854000,69.430000,69.430000,6083200
2021-03-10,71.220001,72.339996,68.970001,70.489998,70.489998,6059400
2021-03-11,73.559998,76.779999,72.379997,76.610001,76.610001,4743500
2021-03-12,73.769997,76.339996,72.040001,76.300003,76.300003,3226900
2021-03-15,76.000000,76.150002,73.830002,75.150002,75.150002,2622200
2021-03-16,75.639999,77.040001,72.800003,74.040001,74.040001,2936600
2021-03-17,71.949997,75.750000,70.760002,74.820000,74.820000,2625400
2021-03-18,73.820000,73.894997,69.327003,70.419998,70.419998,3725000
2021-03-19,71.089996,72.019997,69.580002,71.690002,71.690002,6369000
2021-03-22,72.000000,74.050003,71.370003,72.760002,72.760002,1935400
2021-03-23,73.330002,74.065002,71.959999,72.370003,72.370003,2121200
2021-03-24,75.000000,75.000000,67.800003,67.830002,67.830002,3828800
2021-03-25,65.370003,67.419998,64.019997,66.650002,66.650002,4097100
2021-03-26,67.820000,68.919998,64.750000,67.570000,67.570000,2115500
2021-03-29,67.180000,67.915001,64.910004,65.629997,65.629997,2276600
2021-03-30,64.769997,66.240997,63.250000,65.800003,65.800003,3499700
2021-03-31,67.199997,71.430000,67.019997,70.260002,70.260002,2872600
